kepid,kepoi_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,candidate_probability,prediction
4049131,K00811.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,20.50588921,181.43428,0.0,,0.26,4.0595,,2105.5,0.041039,2.64998,LS+MCMC,3.41,0.1326,89.62,518.0,17.06,4905.0,4.544,-0.04,0.761,0.739,,289.31543,39.153278,15.398,16.241,15.343,15.036,14.877,13.842,13.251,13.216,9.871318843952934e-05,nan
4139816,K00812.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.340218842,171.979062,0.0,,0.466,1.9104,,1632.6,0.037683,3.23586,LS+MCMC,2.03,0.0348,87.85,656.0,43.73,3950.0,4.754,-0.46,0.493,0.502,,286.07913,39.27832,15.954,17.187,15.978,15.425,15.103,13.952,13.278,13.116,7.87791886438571e-05,nan
5287983,K00828.01,2,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_UNRESOLVED_OFFSET,2.507089906,171.002455,0.0,,1.255,2.0067,,1339.2,0.295115,0.11003,LS+MCMC,30.26,0.0365,67.79,1326.0,730.47,5926.0,4.506,-0.04,0.939,1.03,,295.37805,40.493401,15.555,16.109,15.512,15.317,15.284,14.3,13.958,13.912,3.506782183626331e-05,nan
5358241,K00829.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,18.64932728,174.771,0.0,,0.08,4.4056,,893.6,0.027096,1.97596,LS+MCMC,3.12,0.139,89.86,701.0,57.13,5775.0,4.405,0.16,1.053,1.026,,290.46176,40.562462,15.386,15.867,15.354,15.179,15.139,14.252,13.906,13.807,6.20454405686025e-05,nan
10875245,K00117.02,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_CROWDED,4.90144976,138.60548,0.0,,0.529,4.1654,,140.7,0.011136,0.3709,LS+MCMC,1.7,0.0586,86.1,1262.0,598.74,5847.0,4.191,0.26,1.402,1.113,,297.02826,48.208611,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.06,0.00030377005614865514,nan
5358241,K00829.02,1,Done,2018-08-16,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,9.75192101,138.78608,0.0,,0.949,4.793,,418.0,0.024042,0.044,LS+MCMC,2.76,0.0902,80.97,870.0,135.66,5775.0,4.405,0.16,1.053,1.026,,290.46176,40.562462,15.386,15.867,15.354,15.179,15.139,14.252,13.906,13.807,6.837201758669958e-05,nan
5358241,K00829.03,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,38.5576546,163.85063,0.0,,0.911,5.794,,993.0,0.03498,0.19756,LS+MCMC,4.02,0.2255,87.91,550.0,21.71,5775.0,4.405,0.16,1.053,1.026,,290.46176,40.562462,15.386,15.867,15.354,15.179,15.139,14.252,13.906,13.807,6.373812030254197e-05,nan
5358624,K00830.01,1,Done,2018-08-16,CANDIDATE,0.99,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.525632539,170.0479951,0.0,,0.12,2.59959,,22335.0,0.13372,2.43681,LS+MCMC,11.58,0.0431,89.41,975.0,213.12,5150.0,4.572,0.08,0.793,0.855,,290.58173,40.5774,15.224,15.961,15.142,14.908,14.758,13.767,13.295,13.234,0.00044101420876236714,nan
4544670,K00815.01,0,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,34.84398644,172.633252,0.0,,0.934,2.9315,,4523.6,0.080046,1.86832,LS+MCMC,7.61,0.1971,88.92,511.0,16.1,5509.0,4.482,-0.16,0.871,0.84,,285.92001,39.624828,15.684,16.307,15.646,15.417,15.322,14.363,13.96,13.875,0.9590412171173848,confirmed
4664847,K00816.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.748094239,174.997206,0.0,,0.517,3.5957,,2472.1,0.046615,1.06292,LS+MCMC,5.52,0.081,88.02,964.0,204.39,5973.0,4.439,0.36,1.085,1.181,,294.4899,39.771439,15.67,16.254,15.609,15.42,15.327,14.412,14.113,14.106,0.0002882578561483354,nan
4725681,K00817.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,23.96793669,186.22182,0.0,,0.416,3.827,,1182.3,0.03141,3.03325,LS+MCMC,1.8,0.1322,89.47,329.0,2.77,3747.0,4.728,0.1,0.524,0.536,,283.86639,39.898079,15.414,16.862,15.508,14.793,14.419,13.224,12.537,12.312,7.867974639701084e-05,nan
4725681,K00817.02,1,Done,2018-08-16,CANDIDATE,0.995,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.29561738,135.79284,0.0,,0.888,1.3421,,824.3,0.03178,4.18931,LS+MCMC,1.82,0.0652,87.95,469.0,11.39,3747.0,4.728,0.1,0.524,0.536,,283.86639,39.898079,15.414,16.862,15.508,14.793,14.419,13.224,12.537,12.312,0.00019088997760375163,nan
4913852,K00818.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,8.11437482,176.33968,0.0,,0.573,2.2736,,1558.0,0.037204,3.76716,LS+MCMC,2.1,0.0649,88.61,460.0,10.55,3692.0,4.753,0.28,0.517,0.553,,288.81201,40.033401,15.877,17.474,16.091,15.192,14.705,13.405,12.723,12.492,0.00012010934228605947,nan
4932348,K00819.01,2,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---MOD_ODDEVEN_DV---HAS_SEC_TCE,38.036729482,196.934947,0.0,,0.501,4.34617,,82872.0,0.27018,6.21385,LS+MCMC,27.5,0.2252,89.63,500.0,14.81,5575.0,4.521,0.36,0.932,1.051,,294.14789,40.055538,15.472,16.078,15.4,15.212,15.152,14.223,13.85,13.796,4.694624568909073e-05,nan
4936180,K00820.01,0,Done,2018-08-16,CANDIDATE,0.0,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,4.64090031,173.64638,0.0,,1.28,35.512,,2450.6,0.333559,0.00218,LS+MCMC,30.09,0.0503,19.01,1155.0,421.08,6463.0,4.5,-1.66,0.826,0.786,,295.11371,40.071171,15.27,15.662,15.249,15.102,15.046,14.224,13.954,13.785,0.9933688833525401,confirmed
11913073,K00011.01,2,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,1,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_RESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,3.747838198,171.66504,0.0,,1.121,5.0642,,616.0,0.151387,0.00878,LS+MCMC,13.65,0.046,53.12,1031.0,266.76,5514.0,4.569,-0.04,0.826,0.926,,291.06152,50.265129,13.496,14.038,13.426,13.264,13.205,12.236,11.891,11.785,2.9237051982333194e-05,nan
10875245,K00117.01,1,Done,2018-08-16,CANDIDATE,0.992,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,14.74914825,138.77799,0.0,,0.173,6.0995,,430.2,0.018864,0.55575,LS+MCMC,2.89,0.1221,89.47,874.0,137.91,5847.0,4.191,0.26,1.402,1.113,,297.02826,48.208611,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.06,6.865693636727736e-05,nan
